Asia-Afrika	아시아-아프리카
absen [absén]	결석한, 부재의, 불참한
mengabsen	출석을 부르다
pengabsenan	출석을 부르다, 점호하다
absensi [absénsi]	출석하다, 참석하다, 돌보다
abses [absés]	궤양, 종기
absis	[수학] 가로좌표
absolusi	[법률]면제, 사면, 무죄의 언도, 해제
absolut	절대의, 확실한, 순수한, 틀림없는
pengabsolutan	확실하게 하다
absolutisme	전제주의, 전제 정치, [철학] 절대론, 절대성
absorpsi	흡수(작용), 흡착, (도시의)병합
mengabsorpsi	흡수하다, 빨아들이다
absten [abstén]	그만두다, 끊다, 삼가다
abstensi [absténsi]	절제, 자제, (권리행사의)회피
abstrak	추상적인, 요약, 개요, 이론(상)의
mengabstrakkan	추상하다, 관념화 하다
abstraksi	추상(작용), 분리, 추상주의
absur	불합리한, 부조리한, 엉터리없는, 터무니없는, 우스꽝스런absurd
absurditas	불합리, 어리석음, 바보스러움, 엉터리없는 것
abu	먼지, 재
air abu	잿물
abu-abu, keabuan	회색, 쥐색, 백다랭이
berabu	먼지가 많은, 먼지 투성이의
mengabu	재가되다, 재와 같이 되다
mengabui	~에 재를 뿌리다
mengabukan, memperabukan	불태워 재로 만들다, 소각하다, 화장하다
pengabuan	위장, (눈) 속임
perabuan	아궁이, 소각장, 화장장
abuan	몫, 배당, 부분
abuh	염증, 종기, 부어 오름, 증대, 팽창
sakit abuh, abu-abuan	붓기, 부증, 수두
abuk	가루, 먼지, 티끌
abuk gergaji	톱밥
kue abuk	과자 가루
abur	(시간·돈 따위를)낭비하다,(재산을)탕진하다
abus	가치 없는, 하잘 것 없는, 쓸모 없는
abyad	투명한, 명료한, 반투명의
AC	에어컨
acak [1], mengacak	임의의, 무작위(無作爲)의, 어지럽히다
acak-acakan	무질서한, 혼란한, 무법의
acak-acak	서둘러서, 덤벙[허둥]대어
acak [2], acap	보통으로, 일반적으로, 상례로
acang, acang-acang	심복, 사자(使者)
acap [1]	(푹)빠지다, 깊이 찔리다
mengacapi	담그다, 잠기게 하다
acap [2], acap-acap, acap kali	자주, 흔히
acapkali	되풀이하여, 몇 번이고, 재삼 재사, 종종, 때대로
acar	(식초에 절인) 야채류 초절임
memakai acar	아짜르를 이용하다
mengacar, membuat acar	아짜르를 만들다
acara [1], rangka	프로그램, 계획, 일정
beracara	회의 중인, 재판 중인
kepengacaraan	변호사 업무 관계
mengacara	선고하다, 시행하다
mengacarakan	제기하다
pengacara	변호사(인), 사회자
acara [2]	(손님을) 환영하다, 영접하다
aceuk	(순다의) 손위 여자형제
aci [1]	협정한, 약속한, (모두) 동의한
aci-acinya	예를 들면, 예컨대
aci [2]	근거가 확실한, 합법적인, 유효한, 정당한
aci [3]	숙모, 이모
aci [4]	녹말의, 풀 같은 풀을 먹인(것 같은), 딱딱한
acik	(수마트라의) 손위 여자형제
acir [1]	무질서, 혼란, 난잡, 정치 못한 복장
acir [2]	당황하여 어쩔 줄 모름, 당황, 혼란
aco, kacau	무질서, 어지러움, 혼란
acrit	돌진하여 오다, 전진하다
acu [1], mengacu	준비하다, 형, 모델, 모양
mengacu-acu	계획을 세우다, 모양 짓다, 형체를 이루다
mengacukan	~에 관계하다, ~에 관계되다
seacu-acu	~와 같은 모양
acu [2]	힌트, 암시, 미약한 징후, 낌새
acu [3]	문의, 조회, 참조, 참고, 관련, 관계
acuh	돌보다, 시중들다, 정성을 들이다
acuh tak acuh	무관심한, 부주의한
acuhan	관심거리, 흥미거리
mengacuhkan	돌보다, ~에 주의를 기울이다
tidak acuh	냉담한, 무관심한
tidak acuhan	무관심, 냉담
acum, mengacum	자극하다, 선동하다, 격려하다
acung, mengacung	손을 들다, 거수하다
mengacungkan [1]	(자신을 나타내기 위해) 손을 위로 들다
mengacungkan [2], menodongkan	(총포 따위를) 겨냥하다
ada	있다, 소유하다, 존재하다
ada hubungan darah/keluarga	혈족[동족]의, 같은 종류의, 유사한
ada mendengar-dengar	귓결에[어쩌다] 듣다, (몰래) 엿듣다, 도청하다
ada saja, ada-ada saja	항상 그러한, 터무니 없는
ada-ada	믿을 수 없는
ada yg ada ada yg tidak ada	있는 것도 있고 없는 것도 있다
adakah	~입니까?
adalah	~이다, 이었다
Kegemaran saya adalah golf	나의 취미는 골프입니다
adanya	사정(형편, 실제)는
Belum diketahui siapa adanya	누구인지 알려지지 않았다
adapun, tentang	~에 관한
berada	~에 있다, 체류하다
berada-ada	(이유·목적 따위의) 숨겨 진 어떤 것이 있는
diadakan	거행되다, 열리다
keadaan	사정, 상황, 형편, 상태
Keadaan awal	(의무·약속 따위의) 불이행, 결핍, 부족, 결여
Keadaan berbukit-bukit	기복이 많음, 구릉성
Keadaan darurat	급박, 위급, 긴급한 경우, 긴급사태
Keadaan jiwa	(일시적인) 기분, 마음 가짐
Keadaan kasar	거친, 거칠거칠한, 껄껄한
Keadaan kumat	재기, 재현, 기, 회상, 추억
Keadaan luas	외부의, 밖의, 표면의, 외관의
Keadaan macet	막힌 상태
Keadaan merugikan	불리, 불이익, 손해, 손실, 불명예
Keadaan pingsan	[의학] 혼수(昏睡)
Keadaan sekitar	(주위) 환경, 주위의 상황
keberadaan	존재, 실재, 생존, 생활
ketidakadaan	부재, 결석, 결근, 방심, 들뜸
mengada-ada	만들다, 발명하다, 창작하다
mengadakan	거행하다, 개최하다, 베풀다, 행하다
pengadaan	공급품, 지급품, 재고품, 비축 물자
seada-adanya	있는 그대로, 있는 것 모두
seadanya	(손님에게 내는) 있는 것으로만 장만한 요리
tidak berada	~에 있지 않다, ~에 없다
adab, kesopanan	공손함, 정중함, 교양, 예절
beradab, sopan	문명화된, 개화된, 예의 바른, 교양이 높은
diadabi	존경 받는, 정중하게 대접 받는
keadaban	공손, 세련, 고상, 우아
keadaban	정중, 세련, 공손
memperadabkan	교화하다, 문명화하다
mengadabi	존중하다, 존경하다
peradaban	교양, 문명, 문화
adakala(nya)	때때로, 종종, 이따금
Adam, Nabi Adam	아담, 지구, 세상
adalat	정의, 공정, 올바른
adan, azan, azen	기도하도록 외치는 소리
adang [1], adang-adang	때때로, 종종
adang [2], adang-adang	방해, 잠복, 매복
mengadang	방해하다, 막다, 겪다, 잠복해 있다
mengadang-adang	강탈하다, 숨어 기다리다, 방해하다
pengadang	장해(물), 매복자
pengadangan	복병, 잠복
adaptasi	적응, 적합, 순응
bersdaptasi	적합(적응) 시키다, 받아들이다, 흡수하다
mengadaptasi	적합[적응] 시키다, 번안[각색, 편곡]하다
adas	시라(蒔蘿)(의 열매 잎), 회향풀(의 씨)
adat, kebiasaan, tradisi	습관, 예사, 전통, 규율
adat-istiadat	관습과 풍습
beradat	관습이 있는, 습관대로 행하다
mengadatkan	(제도·습관을) 만들다
teradat	습관화되다, 예사로 되다
adati	전통의, 전통적인
adegan [1], adekan	(영화·연극의) 막, 장면
adegan [2]	(이슬람)움직임, 운동, 활동
adem [1]	고요한, 조용한, 평온한
keademan	경사, 더 없는 행복, 평화로운, 태평한
adem [2]	(음식)차가운, (공기가)시원한, (생각)맑은
mengadem	차갑게 만들다, 식히다
pengadem	냉각장치
adempause	심호흡, 한숨 돌리다
adhesi [1]	점착, 부착, 고착, 흡착
adhesi [2]	헌신, 전심, 전념
ad hoc	특별한
panitia ad hoc	특별 위원회
adaptasi	적응, 순응
beradaptasi	적응하다, 순응하다
adegan	장면, 막
adi [1]	으뜸의, 최고의, 화려한
adi [2], adidaya	(형태소) 귀중한, 소중한, 존귀한
adib	경의를 표하는, 공손한, 예의 바른
adicita	관념학(론), 공리, 공론
adik	동생, 자네(아랫 사람에게)
adik sepupu	사촌동생
adik-beradik	형제 같은, 형제가 ~명인
adik kecil, ade kecil	어린 아이 (초등학생 이하의 남,녀)
beradik-berkakak	형제간인
memperadik	형제처럼 여기다
mempunyai adik	동생을 갖다, 동생이 있는
adikara	독재자의, 오만한, 명령적인
keadikaraan	독재, 오만
adikodrat	초자연적인 힘
adil	공정한, 올바른
keadilan	정의, 공정, 옳음, 타당
ketidakadilan	부정, 불의, 불공평, 불공정
mengadili	재판하다
pengadil	판사
pengadilan	법정, 법원, 사법부, 사법권
pengadilan negeri	지방법원
pengadilan tentara	군사재판소
pengadilan tingi	고등법원
peradilan	사법
adinda	아내, 왕후
adjektiva, kata benda	[문법] 명사
ad interim	중간의(에), 임시의(로)
adipati	왕, 지방장관, bupati의 경칭
adipura	가장 깨끗하고 아름다운 도시
adiraja	왕에 대한 최고의 호칭
adiratna	고귀한 보석, 예쁜 여자
adiwarna	빤짝빤짝 빛나는, 눈부신
administrasi	관리, 경영, 행정
mengadministrasikan	관리하다, 지배[통치]하다
administratif	행정상의, 경영상의
administratir	관리자, 행정관, 집행자
administratur	행정관, 사무관
admiral	제독, 해군 대장
admisi	허가(입장)
adon	가루 반죽
mengadoni	반죽하다, 가루 반죽하다
adonan, mengadonan	가루 반죽, 굽지 않은 빵
adopsi	양자(養子)로 삼자
pengadopsi	양자를 삼는 사람
pengadopsian	양자 삼기
adpertensi, iklan	광고
adpisir	조언자, 충고자, 고문
adpokat	변호사, 법률가
adreng	열망하는, 간절히 바라는
adres, alamat	주소
adu, beradu	충돌하다, 경쟁하다
adu domba	이간질하는 자
adu penalti	승부차기
aduan	경기, 경쟁, 씨름경기
mengadu	직면하다, 대결시키다, 들이대다
mengadu (dg menjelekkan org	lain)다른 사람을 더럽게 하며 대결하다
mengadu-adu(kan)	하소연하다, (정식으로) 호소하다
mengadu-domba(kan)	최후의 승부를 하다, 결승전을 갖다
mengadukan	고소하다
pengadu	소송인, 밀고자, 고발인
pengaduan	소송, 고소, 불평
peraduan	논쟁, 논전
aduh, aduhi	(감탄사) 아아, 아이구, 가엾도다
mengaduh	슬퍼하다, 애도하다, 신음하다
pengaduh	꾀까다로운 사람, 불평가
aduh	아이구
aduk, mengaduk	뒤섞다, 젓다
aduk-adukan	마구 섞은
adukan	믹서, 교반기, (달걀의) 거품 내는 기구
mengaduk	~을 젓다, 휘저어 섞다, 혼합하다
mengaduk-aduk	상하로 돌리다, 꼬깃꼬깃하게 하다
pengaduk	믹서, 교반기
pengadukan	혼합, 혼화
adun	화려한 옷, 장신구
beradun	잘 차려 입다, 화려한 옷을 입다
mendadunkan	쭉 빼 입다, 모양을 내다
adven [advén]	도래(到來), 출현
adverbia [advérbia]	[문법] 부사
adverbial [advérbial]	부사의, 부사적
advertenci [adverténci], adpertenci	광고, 선전, 통고, 공시
advonturis, adponturis	모험가
advontur, adpontur	모험
adzan, azen	기도하도록 외치는 소리
advokat	변호사
AEKI	인도네시아 커피생산자협회
aerobic [aérobic]	에어로빅
aerodinamika [aérodinamika]	공기[항공] 역학
aeronotika [aéronotika]	항공학[술]
afal, hafal, apal	암기(暗記)
afasi	실어증(失語症)
afdruk	인쇄, 복사, 사본, 모방
afiat	건강한, 정정한, 원기 왕성한
keafiatan	건강, (정신·태도 따위가) 건전한
mengafiatkan	건강하게 하다, 건강한 체질을 타고났다
afiun, afium, apiun	아편
aga, raga	보여주다
memperagakan	과시하다, 자랑 삼아 보이다
agah, mengagah	(전방을) 노려보다
beragahan	서로 노려보다
agak	약간, 좀, 다소
agaknya	추측하건대, 보아하니
agaknya hari hujan	비가 올 날씨군요
beragak	~하려고 하다
beragak-agak	숙고하다, 고려하다, 망설이다
mengagak(-agak)	정확히 추측하다, 고려하다
mengagak-agihkan	비난하다, 나무라다
mengagakkan	단언을 내리다, 정하다
pengagak	어림잡다, 견적하다, 산정하다
seagak	생각이 같은
teragak	그리워하다, 사모하다
agam	남자다운, 대담한, 씩씩한, 힘찬
agama	종교
budha	불교
hindu	힌두교
Islam	이슬람교
Katolik	가톨릭, 가톨릭
Kristen	기독교
Protestan	개신교, 프로테스탄트
agama Yahudi	유태교, 유대교
agama-agamaan	거짓 종교, 거짓 신앙
agamawan	종교자
beragama	종교를 믿다(갖다)
keagamaan	신앙, 종교에 관련된 일
orang Islam, muslim	이슬람교인
agamawan	종교자, 종교를 가진 사람
agamawai, agamis	종교(상)의, 종교적인, 신앙의
agan [1], beragan	~할 계획하다, 의도하다
mengagan-agani	괴롭히다, 놀려대다
agan [2]	주인, 도련님
agar [1], agar supaya	~하기 위하여
agar [2], agar-agar	(해초로 만들어 진) 젤라틴, 과자
agas	피를 빨아 먹는 작은 곤충, 눈에 놀이
agen	대리점, 대리인, 지점
agen tunggal	총대리점
keagenan, peragenan	대리점
agenda	예정표, 안건, 의사 일정, 의제
agih, mengagih	분배하다, 나누다
agitasi	흥분, 선동
beragitasi	심하게 움직이다, 쑤석거리다,선동하다
agitator	선동자, (정치)운동자
agogo	팝 또는 락 음악과 함께 추는 사양 춤
agonia	큰 슬픔을 입은
agoragobla	시끄러운 곳에 있으면 마음이 불안 함
agraria	농업, 토지문제
keagrariaan	토지문제, 경작문제
agregat	(작은)발전기, 발전용 엔진
agresi [agrési]	침략, 침해, 공격, 침범
agreser, agresor	침략자, 공격자, 침략국
agresif	공격의, 침략적인
keagresifan	침략적인, 공세의, 진취적(적극적)인
agri-bisnis	농업 관련 산업
agri-industri	농업 업
agronomi	농업 경제학, 경종학, 농학
aguk	목걸이, 메달, 로켓
agul	자랑하다, 보이다, 내 놓다
agung(ag)	위대한, 고귀한, 인상적인
jaksa agung	검찰총장
keagungan	웅대, 장엄, 장관(壯觀), 위엄
mengagungkan	찬미하다, 칭찬하다, 자랑하다
pengagungan	신의 영광을 기림, 칭송, 찬미, 칭찬하기[받기]
tamu agung	귀빈
Agustus	8월
ah	아아!(고통·놀라움·연민·한탄·혐오·기쁨 등을 나타냄)ah
aha	아하!(기쁨·경멸·놀라움 따위를 나타냄)
Ahad [1]	(종교상)일요일, (기독교회의) 안식일
ahad [2]	하나, 제일
mengahadkan	합치다, (결혼에 의해서) 하나가 되다
ahadiat	통일(성), 조화, 단일, 일관성
ahala	(역대) 왕조, (어떤 분야의) 명가(名家), 명문
ahil	전문가, 숙련가, 정통한
ahli anatomi	해부학자, (상세히) 분석 조사하는 사람
ahli antropologi	인류학자
ahli bahasa	어학자, 언어학자
ahli bedah	외과 의사
ahli biokimia	생화학자
ahli ceramah	웅변가, 연설법[낭독법] 교사
ahli dalam dua bahasa	2개 국어를 쓰는 사람, 2개 국어로 기록한 것
ahli demografi	인구 통계학자
ahli ekonomi	경제학자, 경제 전문가
ahli fisika bintang	천체 물리학자
ahli gambar	제도사(製圖士)
ahli geologi/hukum	법학자, 법리학자, 법률 저술가
ahli ilmu bumi	지리학자
ahli ilmu falak	천문학자
ahli ilmu tanah	농경가[학자]
ahli ilmu tumbuh-tumbuhan	식물학자
ahli jantung	심장(병)학(學)
ahli kaca mata	안경상(商), 안경사(士)
ahli kecantikan	미용사
ahli keindahan	유미(唯美)[탐미]주의자
ahli kimia	화학자
ahli kimia emas	연금술사(師)
ahli kohtbah	전도사
ahli mendidik	교사, 교육자
ahli waris	유산 상속인
ahli, tekhnisi	숙련가, 전문가, 기술자
ahli-ahli	비교상의, 상대적인, 상호의, 상관적인
ahli Taurat	(성경의)서기관
	(모든 대제사장과 백성의 서기관들을 모아 마
keahlian	전문 기술[지식], 기능, 기술, 숙달
keahlian berdagang	판매술(정책), 판매 수완
mengahlibahasakan	~을 번역하다
ahlubait	집 주인, (종교상의)성체
ahlusuluk	신비가, 신비주의자
ahmak	바보, 미련한, 어리석은, 우둔한
aib [1]	결점, 잘못, 실수, 틀림
aib orang	사람의 결점
	(띠띠는 없앨 수 없는 결점이 있는 아이예요)
aib [2]	수치, 창피, 불명예
mengaibkan	창피를 주다, 비난하다
keaiban	모욕, 수치, 수모, 굴욕
aidil-fitri	회교의 금식기간이 끝나는 날의 축제
aih	놀라서 외치는 소리, 외침, 절규
air	물, 즙, 액체, 음료수
berair	수분이 있는
Buah ini sangat berair	(이 과일에는 수분이 많다)
mengair	물이 되다, 액체로 변하다
mengairi	관개(灌漑)하다
Petani itu mengairi sawah	(그 농부는 논에 물을 대었다)
air accu	배터리 액
air bah	홍수
air belanda	탄산수, 미네랄워터
air mata	눈물
Air mata jatuh ke perut	(속담 ;눈물은 배에 떨어진다)
air susu	우유
buang air besar, tinja, tahi, berak	대변(大便)
cacar air	수두(水痘)
keairan	홍수, 큰물, 범람
pengairan	물을 댐, 관개, 급수, 살수
perairan	급수 시설, 급수소
perairan sebagai pengganti	대체 해역
tanah air	고국, 모국, 조국
zat air	수소(水素)
aja	단지, 오직, 다만
ajaib, ajab	이상한, 놀라움, 기적적인
keajaiban	경이, 기적
mengajaibkan	놀랄만한, 기적적인
ajak, mengajak	초대하다, 초청하다, 청하다
ajakan	초대, 도전, 격려
kalimat ajakan	권유문
mengajak bicara	먼저 말을 건네는 사람
pengajak	권유, 유인, 권유자
ajal	수명, 임종
Ajam	이란, 페르시아(1935년에 이란으로 개칭)
ajang	위치, (사건 따위의) 장소, 투기장
ajar, belajar	면학(勉學), ~을 배우다, 익히다, 공부하다
ajaran	강의, 이론, 교리
mata pelajara, pokok pelajaran	학과
mempelajari	(열심히) 배우다
memperajari	가르치다
pelajaran utama	전공(專攻)
Apa pelajaran utama anda di universitas?	대학에서 무엇을 전공하셨습니까?
mengajar(i), mengajarkan	가르치다
pelajar	학생
pelajar SMA, SMU	고교생, 고등학생
pelajar SMP	중학생
pelajaran	수업, 교육, 학과, 과정
pelajaran tambahan	보다 작은, (비교적) 중요치 않은
pembelajaran	학문, 학식(學識), 배움
pengajar	교사, 선생, 교관
pengajaran	훈련, 교수, 교육, 수업,
ajat	욕망, 욕구, 목적, 필요
ajeg [ajég]	고정된, 확고한, 안정된, 견실한
keajegan	규칙적인, 정연한, 불변성, 항구성
ajek	안정된, 고정된, 확고한, 흔들리지 않는
keajekan	불변성, 항구성
ajektIf [ajéktIf]	형용사
aji [1]	주문, 주술, 마력
mengaji	코란을 낭독하다
pengajian	코란 낭독
aji [2]	왕, 군주
ajidan, ajudan	부관, 조수
ajir	말뚝, 막대기, 표를 하는 사람(도구)
ajojing, berajojing	록스타일의 댄스
ajrih	두려움과 존경
aju, mengaju	(제도·습관을) 만들다, 설치하다, (정부 등을) 설립하다,
mengajukan	~을 제출하다, ~의 관습을 지키다
mengajukan dakwaan	기소(고발)하다
pengajuan	복종, 항복, 순종, 제언, 신청
ajuk, mengajuk	관찰하다, 평가하다
keajukan	추측, 추량
ajun, maksud	계획, 목적, 의도
mengajun(-ajun)	~할 작정이다, ~하려고 생각하다, 의도하다
ajung	조수, 보좌
akad	계약, 협정, 약속
akad bawah tangan	비밀계약
akad jual beli	매매계약
akad nikah	혼약(婚約), 약혼(約婚)
berakad	계약을 체결하다
akademi	학당, 학원, 전문학교, 단과대학
akademik, akademis	학원의, (특히) 대학의
akaid	교의, 교리, 교조, 신조, 독단적 주장
akal	마음, 사고, 수단, 방법
akal budi	지식, 상식, 지능
akal bulus	간계, 계략
akal geladak	사악한 책략
akal melintas	영감, 인스피레이션
akal pendek	어리석은, 바보 같은
akal ubi	교묘한 술책
berakal	영리한, 지적인
habis(hilang, putus) akal	당황하다, 허둥대다
kurang akal	사려가 깊지 못한
lebih berakal	더 영리한, 더 지적인
mengakal, menipu	속이다
mengakali	(~을 행하기 위해) 지혜를 짜 내다, 속이다
mengakalkan	~하려고 노력하다, 애쓰다
orang yg tidak masuk akal	뚱딴지
panjang akal	사려 깊은
panjang akal	영리한 사람, 똑똑한 사람
saling mencari akal untuk mengalahkan lawan	적을 이기기 위해서로 방법을 찾다
seakal-akal, seakal budi	있는 힘을 다하여
tahu akal	충분히 생각한
akali	지적인, 지성을 갖춘, 지능이 있는
akan [1], bakal	~할 것이다, ~할 예정이다
akan tetapi, namun	그러나, 그럼에도 불구하고
akan-akan	실로 같은
akanan	수평선, 지평선, 시계, 시야
berakan	마치 ~한 것처럼
keakanan	다가올 시기(사건), 미래, 장래, 후세
mengakan	애쓰다, 의도하다
mengakankan	상상하다, 추정하다
seakan-akan	마치 ~인 것 처럼
akan [2], mengenai	~에 대한
Ia lupa akan janjinya	그는 그의 약속에 대하여 잊었다
akan [3], untuk, bagi	~을 위한
Minyak ini akan pembakar kayu	이 기름은 나무를 태우기 위한 것이다
akan [4]	~을
Saya tidak percaya akan dia	나는 그를 신뢰하지 않는다
Ia bangga akan anaknya	그는 그의 아들을 자랑한다
akan [5]	~하는 것
Akan mendapat kepercayaannya tidak mudah	그의 신뢰를 얻기란 쉽지 않다
akan [6]	~으로(서는)
akan saya	나로서는
akar	뿌리, 근원, 이유
akar gantung	기근(氣根)
akar pangkat dua	평방루트
akar serabut	잔 뿌리
berakar	뿌리가 있는, ~에 근원을 두다
berurat akar	~에 자리를 잡다
harimau akar	표범
layu akar	각종의 덩굴 식물
tanda akar	제곱근(루트)
Kekosongan adalah akar segala kejahatan	게을음은 모든 죄악의 근원이다
Ia sudah berakar BJM	그는 BJM에 자리를 잡았다
akas [1]	날샌, 영리한, 솜씨 좋은
keaksan	숙련, 노련, 교묘, 능숙함, 솜씨, 기능, 기술
akas [2]	하늘, 대기
akasa, angkasa	하늘, 대기, 천국, 분위기
aksia	아카시아
akh, ah	(감탄사) 아!
akbar	위대한, 장대한, 고귀한
keakbaran	높임, 고귀(숭고)함, 칭송, 찬미
akekah [akékah], akkah	(회교의) 신생아의 머리를 깎는 행위
hari akekah	신생아의 삭발 의식일(제7일에)
akhbar	소식, 신문(일간지)
akhir, selesai	끝, 종말, 최후, 마지막
akhir bulan	월말(月末)
akhir ini	주말(週末)
akhir-akhir ini, pada akhir ini, baru-baru ini	요즈음, 최근에
akhiran	접미사, 결말, 종료, 종국
akhirnya	결국, 마침내, 최종적으로
akhirnya jatuh cinta	결국은 사랑에 빠졌다
berakhir	끝나다, 끝마치다
berakhirkan	~으로 끝나다, 결국 ~이 되다
keberakhiran	마침내, 결국, 최종
mengakhiri	끝내다, 귀결되다
mengakhirkan	되돌리다, 연기하다
Ia mengakhirkan arlojinya	그는 시계바늘을 되돌렸다
pengakhiran	끝, 종료, 결말
terakhir, paling akhir	맨 마지막의, 최후의, 최종의
tak berakhir	끝없는, 지루하게 긴(설교 등)
akhiran	접미사, 추가(첨가)물
akhirat	내세, 저승
dunia akhirat	현세와 내세
ilmu akhirat	종말론
keakhiratan	내세와 관련된 모든 것
akhirulkalam	마지막으로, 최후로(편지에서)
akhlak	성격, 성질, 도덕, 윤리
berakhlak tinggi	좋은 성품을 갖다
keakhlakan	친밀함, 친교, 절친함
krisis akhlak	도덕의 붕괴
pendidikan akhlak	도덕 교육
akhli, ahli	전문가, 숙련가, 정통한
afkir	불량, 거절하다
aki	할아버지, 배터리
akibat	결과, 결말, 끝
akibatnya	결과적으로, 마지막으로
berakibat	~로 끝나다
mengakibatkan	귀착하다, 귀결되다
akik, batu akik	석영,홍옥수(紅玉髓)
siput akik	석영 조개
akil-balig, dewasa	나이든, 성장한, 성인(15세이상의)
akir, akhir	최후, 종말, 끝
aklamasi	박수 갈채
akmil	군의, 군대의, 학원(學院)
akomodasi	(수용 또는 숙박) 시설, 설비
akompanimen	따르는 것, 부수물, (음악) 반주(부)
akonting	회계(학), 회계보고, 결산
akor, akur	일치하다
akordeon	아코디언(악기)
akrab	친밀한, 밀접한
keakraban	친밀함, 친교, 절친함, 익히 앎
mengakrabkan	우의를 다지다
akrobat, sirkus	서커스
akronim	약성어(略成語) (몇 개 단어의 머리글자로 된 말)
aksara, huruf	문자, 발음
akselerasi [aksélérasi]	가속, 촉진, (물리) 가속도
aksen [aksén]	액센트, 억양
aksentuasi [akséntuasi]	강조, (윤곽 따위를) 두드러지게 하기
aksep [aksép]	차용증서, 약속어음
aksi [1], gerakan	활동, 운동
aksi kaum buruh	노동단체 운동
aksi pemberantasan buta huruf	문맹퇴치운동
beraksi	활동하다, 조치를 취하다
aksi [2]	사람의 마음을 끄는, 매력적인, 애교 있는
aksi [3]	자랑, 오만(傲慢)
aksioma	자명한 이치, 원리, 원칙, 통칙
aksiomatis	공리의, 통칙의, 자명한
akta, akte, sertifikat	증서, 정관
akta guru	교사 자격증
akta lahir	출생증명서
akta notaris	공증서
Akte Pendirian Perusahaan	회사설립정관
aktentas	(주로 가죽으로 만든) 서류 가방
aktif, aktip	활동적인, 정력적인
keaktifan	활동(중인), 분주(한 상태)
mengaktifkan	활성화하다, 촉진하다
pengaktifan	활동[작동]시키다
aktiva	자산, 재산, 유산
aktivis, aktivitas, aktifitas	활동력, 적극성, 활발
aktor	배우, 남(배)우, 참가자, 관계자
aktor	남자배우
aktris	여자배우
aktualisasi, aktualisir	실현하다[되다], 현실화하다
